Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,AQI Value_Normalized,CO AQI Value_Normalized,Ozone AQI Value_Normalized,NO2 AQI Value_Normalized,PM2.5 AQI Value_Normalized
united states of america,wilmette,63,moderate,2,good,9,good,22,good,63,moderate,0.11538461538461539,0.015037593984962405,0.03829787234042553,0.2417582417582418,0.126
united states of america,wolf trap,53,moderate,2,good,27,good,10,good,53,moderate,0.0951417004048583,0.015037593984962405,0.1148936170212766,0.1098901098901099,0.106
united states of america,woodhaven,86,moderate,2,good,38,good,10,good,86,moderate,0.16194331983805668,0.015037593984962405,0.16170212765957448,0.1098901098901099,0.17200000000000001
china,wulanhaote,47,good,2,good,47,good,0,good,25,good,0.08299595141700404,0.015037593984962405,0.2,0.0,0.05
china,xiangdong,78,moderate,2,good,25,good,7,good,78,moderate,0.145748987854251,0.015037593984962405,0.10638297872340426,0.07692307692307693,0.156
china,xiaoweizhai,61,moderate,2,good,61,moderate,0,good,54,moderate,0.11133603238866396,0.015037593984962405,0.25957446808510637,0.0,0.108
china,xushan,112,unhealthy for sensitive groups,2,good,44,good,4,good,112,unhealthy for sensitive groups,0.2145748987854251,0.015037593984962405,0.18723404255319148,0.04395604395604396,0.224
peru,yanacancha,27,good,0,good,6,good,1,good,27,good,0.04251012145748988,0.0,0.025531914893617023,0.01098901098901099,0.054
china,yancheng,155,unhealthy,3,good,155,unhealthy,2,good,151,unhealthy,0.3016194331983806,0.022556390977443608,0.6595744680851064,0.02197802197802198,0.302
democratic republic of the congo,yangambi,121,unhealthy for sensitive groups,4,good,24,good,0,good,121,unhealthy for sensitive groups,0.23279352226720648,0.03007518796992481,0.1021276595744681,0.0,0.242
china,yanggu,160,unhealthy,3,good,138,unhealthy for sensitive groups,5,good,160,unhealthy,0.3117408906882591,0.022556390977443608,0.5872340425531914,0.05494505494505495,0.32
china,yangliuqing,144,unhealthy for sensitive groups,4,good,109,unhealthy for sensitive groups,9,good,144,unhealthy for sensitive groups,0.27935222672064774,0.03007518796992481,0.46382978723404256,0.09890109890109891,0.28800000000000003
china,yanji,69,moderate,2,good,48,good,0,good,69,moderate,0.12753036437246965,0.015037593984962405,0.2042553191489362,0.0,0.138
united states of america,yankton,47,good,1,good,34,good,3,good,47,good,0.08299595141700404,0.007518796992481203,0.1446808510638298,0.03296703296703297,0.094
germany,wenden,69,moderate,1,good,34,good,4,good,69,moderate,0.12753036437246965,0.007518796992481203,0.1446808510638298,0.04395604395604396,0.138
united states of america,west carrollton city,84,moderate,3,good,9,good,24,good,84,moderate,0.15789473684210525,0.022556390977443608,0.03829787234042553,0.26373626373626374,0.168
